"huc12","areasqkm"
"041000030706",83.4313439723
"040500011602",47.7692834437
"041000030704",63.6009980316
"041000030705",60.9122252161
"040500011604",42.6173171918
"040500011701",41.1675036906
"040500011601",48.4148313941
"040500011703",40.9565903961
"041000030703",63.9886715395
"040500011603",64.325328548
"040500011705",58.3260113034
"040400010401",51.7203953108
"040400010509",54.254867293
"040400010403",82.5284673359
"040500011901",55.3357989475
"040500011203",78.1097224195
"040400010603",11.2193479288
"040500011903",85.6220388353
"040400010402",57.2936189453
"040500011201",88.8035818562
"040500012104",50.5652202417
"040500011007",42.4654252519
"040500011101",62.6536147343
"040500012205",91.5164904419
"040400010602",34.9523579292
"040400010103",62.1276553035
"040500011904",94.1405067569
"040500012002",82.4609363741
"040500012203",60.4309318273
"040500011102",49.433712186
"040500011104",66.731584271
"040400010601",32.8499169527
"040500011009",54.9732542855
"040500011103",70.0699126721
"040400010603",5.12771569747
"040500012204",53.0347126139
"040500011010",42.5827267896
"040500011204",74.5425394455
"040500011205",46.2755412115
"040400010603",124.189782557
"040400010105",34.8044275108
"040500012202",51.6509611447
"040500011105",51.1884778983
"040500011106",82.3051963223
"040500010804",42.1959882517
"040400010205",72.9796656032
"040500011305",40.8825903716
"040500012208",44.5586804076
"040500012207",77.1829682
"040500012003",43.4999236813
"040500012004",85.9489800769
"040500011107",92.3318841098
"040500012206",96.9023797911
"040500010805",96.3116070315
"040400010206",51.5874735754
"040500010806",106.666972721
"040400010204",62.5104526688
"040500010807",79.7457037208
"040500012210",35.4445292473
"041000020406",50.9479719544
"040900040503",4.73844501478
"040500012607",137.304010071
"040500010506",116.59838254
"040500012302",31.5686693883
"040500010403",112.392310566
"040500010902",42.2761181559
"040500010207",57.2001729908
"041000020404",67.2877084816
"040500012303",57.8266969835
"040500030202",57.0598378289
"040400010101",70.7975066709
"040500012605",134.400595819
"040500030203",75.5762022929
"040500012608",68.7517725838
"040500012305",142.102757708
"041000020101",93.1511006434
"041000020106",82.9722807359
"040500040104",91.8418581569
"040500010209",72.8631020377
"040500030205",56.1042432679
"040500012301",114.696699481
"040500010604",50.9894593221
"040500010601",56.3531447772
"041000020407",61.5897572304
"040500010503",68.9635969318
"040500010504",50.2616112191
"040500010605",112.875769978
"040500010208",70.5443771507
"040500010206",44.6884421543
"040500012509",62.3835250401
"041000010106",82.6113185011
"040500030101",86.1553842691
"040900050406",67.059268584
"041000020102",136.185598017
"040500030204",44.8978624635
